"","Picture","Accuracy","species","id","h1","h2","h3","d1","d2","d3","date","notes","Lstock_inf","h_mean","d_mean","h_quart","d_quart","h_quint","d_quint"
"1",NA,0.024,"hawthorn",1,257,250,242,259,272,306,2023-08-01,NA,NA,249.666666666667,279,2,3,2,3
"2",NA,0.038,"hawthorn",2,327,288,282,240,284,261,2023-08-01,NA,NA,299,261.666666666667,3,2,3,3
"3",NA,0.02,"rose",3,271,239,258,439,371,296,2023-08-01,NA,NA,256,368.666666666667,4,4,5,5
"4",NA,0.021,"rose",4,189,189,166,241,218,235,2023-08-01,NA,NA,181.333333333333,231.333333333333,2,3,2,3
"5",NA,0.022,"blackthorn",5,261,259,266,296,303,240,2023-08-01,NA,NA,262,279.666666666667,3,4,3,4
"6",NA,0.047,"hawthorn",6,371,324,359,430,415,390,2023-08-01,NA,NA,351.333333333333,411.666666666667,3,4,4,5
"7",NA,0.018,"blackthorn",7,321,316,300,250,220,230,2023-08-01,"Also measured for Relod",NA,312.333333333333,233.333333333333,4,3,5,4
"8",NA,0.042,"hawthorn",8,470,490,480,535,690,640,2023-08-01,NA,NA,480,621.666666666667,4,4,5,5
"9",NA,0.028,"hawthorn",9,261,233,224,260,270,220,2023-08-01,NA,NA,239.333333333333,250,1,2,2,2
"10",NA,0.018,"rose",10,246,213,203,165,217,213,2023-08-01,NA,NA,220.666666666667,198.333333333333,3,2,3,2
"11",NA,0.109,"hawthorn",11,395,360,349,285,303,262,2023-08-01,NA,NA,368,283.333333333333,4,3,4,3
"12",NA,0.038,"rose",12,226,237,242,345,267,271,2023-08-01,NA,NA,235,294.333333333333,3,4,4,4
"13",NA,0.015,"rose",13,295,240,226,265,295,310,2023-08-01,NA,NA,253.666666666667,290,4,3,5,4
"14",NA,0.015,"rose",14,236,235,195,240,217,223,2023-08-01,NA,NA,222,226.666666666667,3,2,3,3
"15",NA,0.015,"hawthorn",15,393,378,400,345,355,408,2023-08-01,NA,NA,390.333333333333,369.333333333333,4,3,5,4
"16",NA,0.016,"blackthorn",16,408,408,446,440,370,365,2023-08-01,NA,NA,420.666666666667,391.666666666667,4,4,5,5
"17",NA,0.016,"hawthorn",17,480,525,486,579,570,505,2023-08-01,NA,NA,497,551.333333333333,4,4,5,5
"18",NA,0.021,"blackthorn",18,361,339,327,341,345,270,2023-08-01,NA,NA,342.333333333333,318.666666666667,4,4,5,5
